school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Early Childhood Center,Moffat County School District RE: No. 1,Craig,117,67,Yes under Community Eligibility Option (CEO),false
Early Childhood Center,Montrose County School District Re-1J,Montrose,162,126,Yes under Community Eligibility Option (CEO),false
Early Childhood Education Center,Sheridan School District No. 2,Englewood,114,99,Yes under Community Eligibility Option (CEO),false
Early College Academy,GreeleySchool District No. 6 in the county of Weld and Sta,Greeley,293,182,Yes under Community Eligibility Option (CEO),false
Early Learning Center at Francis M. Day,Westminster Public Schools,Denver,69,5,Yes under Community Eligibility Option (CEO),false
Early Learning Center at Gregory Hill,Westminster Public Schools,Westminster,137,106,Yes under Community Eligibility Option (CEO),false
Early Learning Center at New Legacy Charter School,State Charter School Institute,Aurora,8,,No,false
East Grand Middle School,East Grand School District No. 2,Granby,304,93,Yes participating without using any Provision or the CEO,false
East High School,School District No. 1 in the county of Denver and State of C,Denver,2476,804,Yes participating without using any Provision or the CEO,false
East High School,Pueblo School District No. 60 in the county of Pueblo and,Pueblo,1081,891,Yes under Community Eligibility Option (CEO),true
East Middle School,Aurora Joint District No. 28 of the counties of Adams and A,Aurora,634,584,Yes under Community Eligibility Option (CEO),true
Eastlake High School of Colorado Springs,Colorado Springs School District No. 11 in the county of E,Colorado Springs,104,77,Yes under Community Eligibility Option (CEO),false
Eastridge Community Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Aurora,716,470,Yes under Community Eligibility Option (CEO),false
Eaton Elementary School,Weld County School District No. Re-2,Eaton,484,207,Yes under Community Eligibility Option (CEO),false
Eaton High School,Weld County School District No. Re-2,Eaton,567,178,Yes under Community Eligibility Option (CEO),false
Eaton Middle School,Weld County School District No. Re-2,Eaton,485,158,Yes under Community Eligibility Option (CEO),false
Edcsd,Douglas County School District No. Re 1,Englewood,61,4,Yes participating without using any Provision or the CEO,false
Edgewater Elementary School,Jefferson County School District No. R-1,Edgewater,335,214,Yes under Community Eligibility Option (CEO),false
Edison Elementary School,Colorado Springs School District No. 11 in the county of E,Colorado Springs,214,166,Yes under Community Eligibility Option (CEO),false
Edison Elementary School,School District No. 1 in the county of Denver and State of C,Denver,583,105,Yes participating without using any Provision or the CEO,false
Edison Elementary School,Edison Joint District No. 54 of the counties of El Paso and,Yoder,29,20,Yes under Community Eligibility Option (CEO),false
Edison Junior-Senior High School,Edison Joint District No. 54 of the counties of El Paso and,Yoder,21,7,Yes under Community Eligibility Option (CEO),false
Edison Prep,Edison Joint District No. 54 of the counties of El Paso and,Yoder,6,,No,false
Edith Teter Elementary School,Park County School District No. Re-2,Fairplay,190,92,Yes participating without using any Provision or the CEO,false
Edith Wolford Elementary School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,372,76,Yes participating without using any Provision or the CEO,false
