school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Tootin' Hills School,Simsbury School District,West Simsbury,368,53,Yes participating without using any Provision or the CEO
Toquam Magnet School,Stamford School District,Stamford,532,340,Yes under Community Eligibility Option (CEO)
Torringford School,Torrington School District,Torrington,583,368,Yes under Community Eligibility Option (CEO)
Torrington High School,Torrington School District,Torrington,1034,644,Yes under Community Eligibility Option (CEO)
Torrington Middle School,Torrington School District,Torrington,981,657,Yes under Community Eligibility Option (CEO)
Totoket Valley Elementary School,North Branford School District,Northford,368,95,Yes participating without using any Provision or the CEO
Tourtellotte Memorial High School,Thompson School District,North Grosvenordale,184,75,Yes participating without using any Provision or the CEO
Tracey Magnet School,Norwalk School District,Norwalk,434,264,Yes under Community Eligibility Option (CEO)
Truman School,New Haven School District,New Haven,460,356,Yes under Community Eligibility Option (CEO)
Trumbull High School,Trumbull School District,Trumbull,2152,464,Yes participating without using any Provision or the CEO
Turkey Hill School,Orange School District,Orange,297,46,Yes participating without using any Provision or the CEO
Turn of River School,Stamford School District,Stamford,560,329,Yes under Community Eligibility Option (CEO)
Tyrrell Middle School,Wolcott School District,Wolcott,498,178,Yes participating without using any Provision or the CEO
Uncas Elementary School,Norwich School District,Norwich,232,196,Yes under Community Eligibility Option (CEO)
Union School,Union School District,Union,49,13,No
Union School,Farmington School District,Unionville,305,72,Yes participating without using any Provision or the CEO
University High School of Science and Engineering,Hartford School District,Hartford,406,255,Yes under Community Eligibility Option (CEO)
University of Hartford Magnet School,Capitol Region Education Council,West Hartford,477,297,Yes under Community Eligibility Option (CEO)
Urbin T. Kelley School,Southington School District,Southington,301,47,Yes participating without using any Provision or the CEO
Valley Regional High School,Regional School District 04,Deep River,429,117,Yes participating without using any Provision or the CEO
Valley View School,Portland School District,Portland,219,50,Yes participating without using any Provision or the CEO
Vance Elementary School,New Britain School District,New Britain,438,340,Yes under Community Eligibility Option (CEO)
Vernon Center Middle School,Vernon School District,Vernon,651,395,Yes participating without using any Provision or the CEO
Verplanck School,Manchester School District,Manchester,466,361,Yes under Community Eligibility Option (CEO)
Veterans Park Elementary School,Ridgefield School District,Ridgefield,262,32,Yes participating without using any Provision or the CEO
Veterans' Memorial School,Norwich School District,Norwich,290,224,Yes under Community Eligibility Option (CEO)
Victoria Soto Preschool,Stratford School District,Stratford,217,102,Yes under Community Eligibility Option (CEO)
Vinal Technical High School,Connecticut Technical Education and Career System,Middletown,522,187,Yes under Community Eligibility Option (CEO)
Vogel-Wetmore School,Torrington School District,Torrington,529,361,Yes under Community Eligibility Option (CEO)
