school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Lasalle-Backus ES,District of Columbia Public Schools,Washington,279,,Yes under Community Eligibility Option (CEO),true
Latin American Montessori Bilingual PCS,Latin American Montessori Bilingual PCS,Washington,572,,Yes participating without using any Provision or the CEO,false
Lawrence E. Boone ES,District of Columbia Public Schools,Washington,416,,Yes under Community Eligibility Option (CEO),false
Learn Dc PCS,Learn Dc PCS,Washington,290,,Yes participating without using any Provision or the CEO,false
Leckie Education Campus,District of Columbia Public Schools,Washington,453,,Yes under Community Eligibility Option (CEO),false
Lee Montessori PCS - Brookland,Lee Montessori PCS,Washington,298,,Yes participating without using any Provision or the CEO,false
Lee Montessori PCS - East End,Lee Montessori PCS,Washington,246,,Yes participating without using any Provision or the CEO,false
Lorraine H. Whitlock ES,District of Columbia Public Schools,Washington,162,,Yes under Community Eligibility Option (CEO),false
Ludlow-Taylor ES,District of Columbia Public Schools,Washington,489,,Yes under Community Eligibility Option (CEO),false
Luke C. Moore HS,District of Columbia Public Schools,Washington,275,,Yes under Community Eligibility Option (CEO),false
Macarthur HS,District of Columbia Public Schools,Washington,390,,Yes participating without using any Provision or the CEO,false
Macfarland MS,District of Columbia Public Schools,Washington,486,,Yes under Community Eligibility Option (CEO),true
Malcolm X ES at Green,District of Columbia Public Schools,Washington,170,,Yes under Community Eligibility Option (CEO),false
Mann ES,District of Columbia Public Schools,Washington,397,,Yes participating without using any Provision or the CEO,false
Marie Reed ES,District of Columbia Public Schools,Washington,461,,Yes under Community Eligibility Option (CEO),false
Mary McLeod Bethune Day Academy PCS,Mary McLeod Bethune Day Academy PCS,Washington,310,,Yes under Community Eligibility Option (CEO),true
Maury ES,District of Columbia Public Schools,Washington,559,,Yes participating without using any Provision or the CEO,false
Maya Angelou Academy at New Beginnings Formerly Oak Hill,Dyrs,Laurel,41,,Yes participating without using any Provision or the CEO,false
Maya Angelou Academy at Youth Services Center,Dyrs,Washington,84,,Yes participating without using any Provision or the CEO,false
Maya Angelou PCS - HS,Maya Angelou PCS,Washington,218,,No,false
McKinley MS,District of Columbia Public Schools,Washington,286,,Yes under Community Eligibility Option (CEO),true
McKinley Technology HS,District of Columbia Public Schools,Washington,723,,Yes under Community Eligibility Option (CEO),false
Meridian PCS,Meridian PCS,Washington,578,,Yes under Community Eligibility Option (CEO),true
Military Road Early Learning Center,District of Columbia Public Schools,Washington,70,,Yes under Community Eligibility Option (CEO),false
Miner ES,District of Columbia Public Schools,Washington,433,,Yes under Community Eligibility Option (CEO),false
Monument Academy PCS,Monument Academy PCS,Washington,131,,Yes under Community Eligibility Option (CEO),true
Moten ES,District of Columbia Public Schools,Washington,216,,Yes under Community Eligibility Option (CEO),false
Mundo Verde Bilingual PCS - Calle Ocho,Mundo Verde Bilingual PCS,Washington,504,,Yes participating without using any Provision or the CEO,false
Mundo Verde Bilingual PCS - J.f. Cook,Mundo Verde Bilingual PCS,Washington,563,,Yes participating without using any Provision or the CEO,false
Murch ES,District of Columbia Public Schools,Washington,658,,Yes participating without using any Provision or the CEO,false
Nalle ES,District of Columbia Public Schools,Washington,287,,Yes under Community Eligibility Option (CEO),false
Noyes ES,District of Columbia Public Schools,Washington,293,,Yes under Community Eligibility Option (CEO),false
Oyster-Adams Bilingual School,District of Columbia Public Schools,Washington,791,,Yes participating without using any Provision or the CEO,false
Patterson ES,District of Columbia Public Schools,Washington,238,,Yes under Community Eligibility Option (CEO),false
Paul PCS - International HS,Paul PCS,Washington,439,,Yes under Community Eligibility Option (CEO),false
Paul PCS - MS,Paul PCS,Washington,328,,Yes under Community Eligibility Option (CEO),true
Payne ES,District of Columbia Public Schools,Washington,398,,Yes under Community Eligibility Option (CEO),false
Peabody ES (Capitol Hill Cluster),District of Columbia Public Schools,Washington,209,,Yes participating without using any Provision or the CEO,false
Perry Street Preparatory PCS,Perry Street Preparatory PCS,Washington,437,,Yes under Community Eligibility Option (CEO),true
Phelps Architecture Construction and Engineering HS,District of Columbia Public Schools,Washington,350,,Yes under Community Eligibility Option (CEO),false
Plummer ES,District of Columbia Public Schools,Washington,233,,Yes under Community Eligibility Option (CEO),false
Powell ES,District of Columbia Public Schools,Washington,514,,Yes under Community Eligibility Option (CEO),false
Randle Highlands ES,District of Columbia Public Schools,Washington,301,,Yes under Community Eligibility Option (CEO),false
Raymond ES,District of Columbia Public Schools,Washington,439,,Yes under Community Eligibility Option (CEO),false
Richard Wright PCS for Journalism and Media Arts,Richard Wright PCS for Journalism and Media Arts,Washington,300,,Yes under Community Eligibility Option (CEO),false
River Terrace Education Campus,District of Columbia Public Schools,Washington,125,,Yes under Community Eligibility Option (CEO),false
Rocketship PCS - Infinity Community Prep,Rocketship Education DC PCS,Washington,321,,Yes under Community Eligibility Option (CEO),false
Rocketship PCS - Legacy Prep,Rocketship Education DC PCS,Washington,530,,Yes under Community Eligibility Option (CEO),false
Rocketship PCS - Rise Academy,Rocketship Education DC PCS,Washington,346,,Yes under Community Eligibility Option (CEO),false
Ron Brown College Preparatory HS,District of Columbia Public Schools,Washington,196,,Yes under Community Eligibility Option (CEO),false
Roosevelt HS,District of Columbia Public Schools,Washington,943,,Yes under Community Eligibility Option (CEO),false
Roots PCS,Roots PCS,Washington,80,,Yes under Community Eligibility Option (CEO),false
Ross ES,District of Columbia Public Schools,Washington,171,,Yes participating without using any Provision or the CEO,false
Savoy ES,District of Columbia Public Schools,Washington,233,,Yes under Community Eligibility Option (CEO),false
School Without Walls HS,District of Columbia Public Schools,Washington,606,,Yes participating without using any Provision or the CEO,false
School-Within-School at Goding,District of Columbia Public Schools,Washington,325,,Yes participating without using any Provision or the CEO,false
