school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Meshik School,Lake and Peninsula Borough School District,Port Heiden,29,30,Yes under Community Eligibility Option (CEO)
Metlakatla High School,Annette Island School District,Metlakatla,98,74,Yes under Community Eligibility Option (CEO)
Midnight Sun Elementary School,Fairbanks North Star Borough School District,North Pole,322,116,Yes participating without using any Provision or the CEO
Midnight Sun Family Learning Center,Matanuska-Susitna Borough School District,Wasilla,189,,No
Mikelnguut Elitnaurviat,Lower Kuskokwim School District,Bethel,261,189,Yes under Community Eligibility Option (CEO)
Minto School,Yukon-Koyukuk School District,Minto,55,55,Yes under Community Eligibility Option (CEO)
Mirror Lake Middle School,Anchorage School District,Chugiak,571,125,Yes participating without using any Provision or the CEO
Mitkof Middle School,Petersburg Borough School District,Petersburg,114,76,Yes under Community Eligibility Option (CEO)
Montessori Borealis Public Alternative School,Juneau Borough School District,Juneau,205,14,Yes participating without using any Provision or the CEO
Moose Pass School,Kenai Peninsula Borough School District,Moose Pass,17,,Yes participating without using any Provision or the CEO
Mountain View Elementary,Anchorage School District,Anchorage,230,236,Yes under Community Eligibility Option (CEO)
Mountain Village School,Lower Yukon School District,Mountain Village,185,201,Yes under Community Eligibility Option (CEO)
Mt. Eccles Elementary,Cordova City School District,Cordova,234,198,Yes under Community Eligibility Option (CEO)
Mt. Edgecumbe High School,Mount Edgecumbe,Sitka,422,324,Yes under Community Eligibility Option (CEO)
Mt. View Elementary,Kenai Peninsula Borough School District,Kenai,449,258,Yes participating without using any Provision or the CEO
