school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Hermon High School,Hermon Public Schools,Hermon,567,174,Yes participating without using any Provision or the CEO
Hermon Middle School,Hermon Public Schools,Hermon,319,91,Yes participating without using any Provision or the CEO
Hichborn Middle School,Rsu 31/Msad 31,Howland,98,68,Yes under Provision 2
Hodgdon Middle/High School,Rsu 70/Msad 70,Hodgdon,211,134,Yes under Provision 2
Holbrook School,Rsu 63/Msad 63,Holden,178,66,Yes participating without using any Provision or the CEO
Holden School,Rsu 63/Msad 63,Holden,149,61,Yes participating without using any Provision or the CEO
Hollis School,Rsu 06/Msad 06,Hollis,272,94,Yes under Provision 2
Hope Elementary School,Hope Public Schools,Hope,140,45,Yes under Provision 2
Horace Mitchell Primary School,Kittery Public Schools,Kittery Point,315,54,Yes under Provision 2
Houlton Elementary School,Rsu 29/Msad 29,Houlton,282,214,Yes under Community Eligibility Option (CEO)
Houlton High School,Rsu 29/Msad 29,Houlton,378,282,Yes under Community Eligibility Option (CEO)
Houlton Junior High School,Rsu 29/Msad 29,Houlton,186,143,Yes under Community Eligibility Option (CEO)
Houlton Southside School,Rsu 29/Msad 29,Houlton,368,226,Yes under Community Eligibility Option (CEO)
Howard C Reiche Community Sch,Portland Public Schools,Portland,467,340,Yes under Community Eligibility Option (CEO)
Isle Au Haut Rural School,Isle Au Haut Public Schools,Isle Au Haut,7,,No
Islesboro Central School,Islesboro Public Schools,Islesboro,64,19,Yes participating without using any Provision or the CEO
James F. Doughty School,Bangor Public Schools,Bangor,346,222,Yes under Community Eligibility Option (CEO)
James H Bean School,Rsu 18,Sidney,300,97,Yes participating without using any Provision or the CEO
James Otis Kaler Elementary School,South Portland Public Schools,South Portland,179,106,Yes under Community Eligibility Option (CEO)
Jameson Elementary School,Rsu 23,Old Orchard Beach,177,54,Yes under Provision 2
Jefferson Village School,Jefferson Public Schools,Jefferson,215,82,Yes under Community Eligibility Option (CEO)
John F Kennedy Memorial School,Biddeford Public Schools,Biddeford,157,102,Yes under Community Eligibility Option (CEO)
Jonesboro Elementary School,Jonesboro Public Schools,Jonesboro,54,30,Yes participating without using any Provision or the CEO
Jonesport Elementary School,Jonesport Public Schools,Jonesport,101,75,Yes under Provision 2
Jonesport-Beals High School,Moosabec CSD,Jonesport,59,33,Yes under Provision 2
Jordan-Small Middle School,Rsu 14,Raymond,181,57,Yes under Provision 2
Katahdin Elementary School,Rsu 89,Stacyville,136,91,Yes under Community Eligibility Option (CEO)
Katahdin Middle/High School,Rsu 89,Stacyville,128,68,Yes under Community Eligibility Option (CEO)
Kate Furbish Elementary School,Brunswick Public Schools,Brunswick,616,229,Yes under Provision 2
Kennebunk Elementary School,Rsu 21,Kennebunk,378,58,Yes under Provision 2
Kennebunk High School,Rsu 21,Kennebunk,683,123,Yes under Provision 2
Kennebunkport Consolidated Sch,Rsu 21,Kennebunkport,199,25,Yes under Provision 2
Kermit S Nickerson School,Rsu 71,Swanville,58,41,Yes under Community Eligibility Option (CEO)
King Middle School,Portland Public Schools,Portland,434,307,Yes under Community Eligibility Option (CEO)
Kingfield Elementary Sch,Rsu 58/Msad 58,Kingfield,95,52,Yes under Provision 2
Kingman Elementary School,Education in Unorganized Terr,Kingman,14,11,Yes under Community Eligibility Option (CEO)
Lake Region High School,Rsu 61/Msad 61,Naples,503,273,Yes participating without using any Provision or the CEO
Lake Region Middle School,Rsu 61/Msad 61,Naples,390,207,Yes participating without using any Provision or the CEO
Lamoine Consolidated School,Lamoine Public Schools,Lamoine,137,47,Yes participating without using any Provision or the CEO
Laura E Richards School,Rsu 11/Msad 11,Gardiner,219,89,Yes under Provision 2
Lawrence High School,Rsu 49/Msad 49,Fairfield,531,241,Yes participating without using any Provision or the CEO
Lawrence Jr High School,Rsu 49/Msad 49,Fairfield,276,145,Yes participating without using any Provision or the CEO
Leavitt Area High School,Rsu 52/Msad 52,Turner,563,197,Yes under Provision 2
Lebanon Elementary School,Rsu 60/Msad 60,Lebanon,135,51,Yes under Provision 2
Lee/Winn School,Rsu 30/Msad 30,Winn,85,67,Yes under Community Eligibility Option (CEO)
Leeds Central School,Rsu 52/Msad 52,Leeds,196,106,Yes under Provision 2
Leonard Middle School,Rsu 34,Old Town,278,148,Yes under Provision 2
Leroy H Smith School,Rsu 22,Winterport,260,116,Yes participating without using any Provision or the CEO
Lewiston High School,Lewiston Public Schools,Lewiston,1709,982,Yes under Community Eligibility Option (CEO)
Lewiston Middle School,Lewiston Public Schools,Lewiston,744,469,Yes under Community Eligibility Option (CEO)
Libby-Tozier School,Rsu 04,Litchfield,143,72,Yes under Provision 2
Lillian Parks Hussey School,Augusta Public Schools,Augusta,235,111,Yes under Provision 2
Limestone Community School,Limestone Public Schools,Limestone,138,97,Yes under Community Eligibility Option (CEO)
Lincoln Middle School,Portland Public Schools,Portland,382,205,Yes under Community Eligibility Option (CEO)
Lincoln School,Augusta Public Schools,Augusta,291,181,Yes under Provision 2
Lincolnville Central School,Lincolnville Public Schools,Lincolnville,212,92,Yes under Provision 2
Line Elementary,Rsu 57/Msad 57,West Newfield,261,144,Yes under Community Eligibility Option (CEO)
Lisbon Community School,Lisbon Public Schools,Lisbon,657,319,Yes under Provision 2
Lisbon High School,Lisbon Public Schools,Lisbon Falls,396,157,Yes under Provision 2
Long Island Elementary School,Long Island Public Schools,Long Island,8,,Yes under Provision 2
Longfellow School-Portland,Portland Public Schools,Portland,263,71,Yes under Provision 2
Loranger Memorial School,Rsu 23,Old Orchard Beach,251,105,Yes under Provision 2
Lubec Consolidated School,Rsu 85/Msad 19,Lubec,87,55,Yes under Provision 2
Lyman Elementary School,Rsu 57/Msad 57,Lyman,241,103,Yes under Provision 2
Lyman Moore Middle School,Portland Public Schools,Portland,470,222,Yes under Community Eligibility Option (CEO)
Mabel I Wilson School,Rsu 51/Msad 51,Cumberland,730,64,Yes under Provision 2
Machias Memorial High School,Machias Public Schools,Machias,173,110,Yes participating without using any Provision or the CEO
Madawaska Elementary School,Madawaska Public Schools,Madawaska,162,101,Yes under Provision 2
Madawaska Middle/High School,Madawaska Public Schools,Madawaska,205,79,Yes under Provision 2
Madison Elementary School,Rsu 59/Msad 59,Madison,140,108,Yes under Provision 2
Madison Jr/Sr High School,Rsu 59/Msad 59,Madison,243,176,Yes under Provision 2
Main Street Middle School,Rsu 59/Msad 59,Madison,160,117,Yes under Provision 2
Maine Academy of Natural Sciences,Maine Academy of Natural Sciences,Hinckley,177,134,Yes under Community Eligibility Option (CEO)
Maine Arts Academy School,Maine Arts Academy,Augusta,245,100,Yes participating without using any Provision or the CEO
Maine Connections Academy,Maine Connections Academy,South Portland,504,260,No
Maine Virtual Academy,Maine Virtual Academy,Augusta,475,233,No
Manchester Elementary School,Rsu 38,Manchester,150,38,Yes under Provision 2
Manchester School,Rsu 14,Windham,357,106,Yes under Provision 2
