school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Leo A. Savoie School,Woonsocket,Woonsocket,380,237,Yes under Community Eligibility Option (CEO)
Leviton Dual Language School,Providence,Providence,288,248,Yes under Community Eligibility Option (CEO)
Lillian Feinstein El. School,Providence,Providence,429,367,Yes under Community Eligibility Option (CEO)
Lincoln Central Elem.,Lincoln,Lincoln,416,53,Yes participating without using any Provision or the CEO
Lincoln Middle School,Lincoln,Lincoln,773,296,Yes participating without using any Provision or the CEO
Lincoln Senior High School,Lincoln,Lincoln,973,326,Yes participating without using any Provision or the CEO
Lippitt School,Warwick,Warwick,223,129,Yes participating without using any Provision or the CEO
Lonsdale Elementary,Lincoln,Lincoln,286,96,Yes participating without using any Provision or the CEO
Lyman B. Goff Middle School,Pawtucket,Pawtucket,637,455,Yes under Community Eligibility Option (CEO)
Maisie E. Quinn School,West Warwick,West Warwick,91,51,Yes under Community Eligibility Option (CEO)
Martin Luther King El. School,Providence,Providence,430,329,Yes under Community Eligibility Option (CEO)
Mary E. Fogarty El. School,Providence,Providence,430,387,Yes under Community Eligibility Option (CEO)
Matunuck School,South Kingstown,Wakefield,246,61,Yes participating without using any Provision or the CEO
Meadowbrook Farms School,East Greenwich,East Greenwich,281,30,Yes participating without using any Provision or the CEO
Melville School,Portsmouth,Portsmouth,316,50,Yes participating without using any Provision or the CEO
Metcalf School,Exeter-West Greenwich,Exeter,522,131,Yes participating without using any Provision or the CEO
Metropolitan Career Tech Ctr,MET Career and Tech,Providence,817,587,Yes under Community Eligibility Option (CEO)
Middletown High School,Middletown,Middletown,523,174,Yes participating without using any Provision or the CEO
Mildred E. Lineham School,Exeter-West Greenwich,West Greenwich,84,15,Yes participating without using any Provision or the CEO
Mount Pleasant High,Providence,Providence,997,895,Yes under Community Eligibility Option (CEO)
Mt. Hope High School,Bristol Warren,Bristol,787,315,Yes participating without using any Provision or the CEO
Myron J. Francis Elementary,East Providence,Rumford,391,140,Yes participating without using any Provision or the CEO
Narragansett Elementary,Narragansett,Narragansett,331,88,Yes participating without using any Provision or the CEO
Narragansett High School,Narragansett,Narragansett,372,89,Yes participating without using any Provision or the CEO
Narragansett Pier School,Narragansett,Narragansett,263,79,Yes participating without using any Provision or the CEO
Nathan Bishop Middle,Providence,Providence,719,576,Yes under Community Eligibility Option (CEO)
Nathanael Greene Middle,Providence,Providence,815,734,Yes under Community Eligibility Option (CEO)
Nathanael Greene School,Pawtucket,Pawtucket,397,295,Yes under Community Eligibility Option (CEO)
Nayatt School,Barrington,Barrington,356,23,Yes participating without using any Provision or the CEO
Nicholas A. Ferri Middle,Johnston,Johnston,720,426,Yes participating without using any Provision or the CEO
North Cumberland Middle,Cumberland,Cumberland,643,89,Yes participating without using any Provision or the CEO
North Kingstown Sr. High,North Kingstown,North Kingstown,1278,288,Yes participating without using any Provision or the CEO
North Providence High,North Providence,North Providence,1085,569,Yes participating without using any Provision or the CEO
North Scituate School,Scituate,North Scituate,238,59,Yes participating without using any Provision or the CEO
North Smitfield HS,North Smithfield,North Smithfield,532,132,Yes participating without using any Provision or the CEO
North Smithfield Elementary,North Smithfield,North Smithfield,583,143,Yes participating without using any Provision or the CEO
North Smithfield MS,North Smithfield,North Smithfield,502,130,Yes participating without using any Provision or the CEO
Northern Lincoln Elem.,Lincoln,Manville,495,229,Yes participating without using any Provision or the CEO
Norwood School,Warwick,Warwick,265,170,Yes participating without using any Provision or the CEO
Nuestro Mundo Public Charter S,Nuestro Mundo Public Charter,Providence,292,249,Yes under Community Eligibility Option (CEO)
Oak Lawn School,Cranston,Cranston,247,39,Yes participating without using any Provision or the CEO
Oakland Beach School,Warwick,Warwick,326,200,Yes participating without using any Provision or the CEO
Old County Road School,Smithfield,Smithfield,228,79,Yes participating without using any Provision or the CEO
Orchard Farms El. School,Cranston,Cranston,444,73,Yes participating without using any Provision or the CEO
Orlo Avenue School,East Providence,East Providence,245,158,Yes participating without using any Provision or the CEO
Park School,Warwick,Warwick,225,112,Yes participating without using any Provision or the CEO
Park View Middle School,Cranston,Cranston,711,468,Yes participating without using any Provision or the CEO
Paul Cuffee Lower School,Paul Cuffee Charter Sch,Providence,358,309,Yes participating without using any Provision or the CEO
Paul Cuffee Middle School,Paul Cuffee Charter Sch,Providence,189,170,Yes participating without using any Provision or the CEO
Paul Cuffee Upper School,Paul Cuffee Charter Sch,Providence,243,220,Yes participating without using any Provision or the CEO
Peace Dale School,South Kingstown,Peace Dale,412,155,Yes participating without using any Provision or the CEO
Pilgrim High School,Warwick,Warwick,1137,525,Yes participating without using any Provision or the CEO
Pleasant View Elementary Schoo,Smithfield,Smithfield,552,77,Yes participating without using any Provision or the CEO
Pleasant View School,Providence,Providence,433,348,Yes under Community Eligibility Option (CEO)
Pocasset School,Tiverton,Tiverton,210,89,Yes participating without using any Provision or the CEO
Ponaganset High School,Foster-Glocester,North Scituate,869,209,Yes participating without using any Provision or the CEO
Ponaganset Middle School,Foster-Glocester,North Scituate,396,100,Yes participating without using any Provision or the CEO
Portsmouth High School,Portsmouth,Portsmouth,785,149,Yes participating without using any Provision or the CEO
Portsmouth Middle School,Portsmouth,Portsmouth,604,126,Yes participating without using any Provision or the CEO
Pothier-Citizens Elem Campus,Woonsocket,Woonsocket,669,441,Yes under Community Eligibility Option (CEO)
Potter-Burns School,Pawtucket,Pawtucket,430,282,Yes under Community Eligibility Option (CEO)
Primrose Hill School,Barrington,Barrington,329,54,Yes participating without using any Provision or the CEO
Providence Career Technical,Providence,Providence,759,659,Yes under Community Eligibility Option (CEO)
Providence Preparatory Charter,Providence Preparatory Charter,Providence,244,243,Yes under Community Eligibility Option (CEO)
R.i. School for the Deaf,R.I. Sch for the Deaf,Providence,77,57,Yes under Community Eligibility Option (CEO)
Raices Dual Language Academy,Central Falls,Central Falls,206,199,Yes under Community Eligibility Option (CEO)
Raices Upper Dual Language Acd,Central Falls,Central falls,63,62,Yes under Community Eligibility Option (CEO)
Ranger School,Tiverton,Tiverton,212,57,Yes participating without using any Provision or the CEO
Raymond Laperche School,Smithfield,Smithfield,337,62,Yes participating without using any Provision or the CEO
Reservoir Avenue School,Providence,Providence,289,260,Yes under Community Eligibility Option (CEO)
Richmond Elementary School,Chariho,Wyoming,371,116,Yes participating without using any Provision or the CEO
Rini Middle College,Rhode Island Nurses Institute Middle College,Providence,462,389,Yes under Community Eligibility Option (CEO)
Rise Prep Mayoral Acad High,RISE Prep Mayoral Academy,Woonsocket,62,51,Yes participating without using any Provision or the CEO
Rise Prep Mayoral Academy,RISE Prep Mayoral Academy,Woonsocket,573,384,Yes participating without using any Provision or the CEO
Riverside Middle School,East Providence,Riverside,549,318,Yes participating without using any Provision or the CEO
