school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Cashell Elementary,Montgomery County Public Schools,Rockville,386,109,Yes participating without using any Provision or the CEO
Catherine T. Reed Elementary,Prince George's County Public Schools,Lanham,437,395,Yes under Community Eligibility Option (CEO)
Catoctin High,Frederick County Public Schools,Thurmont,823,331,Yes participating without using any Provision or the CEO
Catonsville Center for Alternative Studies,Baltimore County Public Schools,Baltimore,68,50,Yes under Community Eligibility Option (CEO)
Catonsville Elementary,Baltimore County Public Schools,Catonsville,653,317,Yes under Community Eligibility Option (CEO)
Catonsville High,Baltimore County Public Schools,Baltimore,1735,707,Yes under Community Eligibility Option (CEO)
Catonsville Middle,Baltimore County Public Schools,Catonsville,818,299,Yes under Community Eligibility Option (CEO)
Cecil Elementary,Baltimore City Public Schools,Baltimore,348,296,Yes under Community Eligibility Option (CEO)
Cecil Manor Elementary,Cecil County Public Schools,Elkton,416,250,Yes under Community Eligibility Option (CEO)
Cecilton Elementary,Cecil County Public Schools,Cecilton,273,160,Yes under Community Eligibility Option (CEO)
Cedar Chapel Special School,Worcester County Public Schools,Snow Hill,51,39,Yes under Community Eligibility Option (CEO)
Cedar Grove Elementary,Montgomery County Public Schools,Germantown,326,88,Yes participating without using any Provision or the CEO
Cedar Lane Special Center,Howard County Public Schools,Fulton,133,40,Yes participating without using any Provision or the CEO
Cedarmere Elementary,Baltimore County Public Schools,Reisterstown,502,299,Yes under Community Eligibility Option (CEO)
Centennial High,Howard County Public Schools,Ellicott City,1377,255,Yes participating without using any Provision or the CEO
Centennial Lane Elementary,Howard County Public Schools,Ellicott City,749,123,Yes participating without using any Provision or the CEO
Center for Career & Technical Education,Allegany County Public Schools,Cresaptown,300,160,Yes under Community Eligibility Option (CEO)
Center for Educational Opportunity,Harford County Public Schools,Aberdeen,122,81,Yes under Community Eligibility Option (CEO)
Centerville Elementary,Frederick County Public Schools,Frederick,471,90,Yes participating without using any Provision or the CEO
Central Elementary,Anne Arundel County Public Schools,Edgewater,566,97,Yes participating without using any Provision or the CEO
Central High,Prince George's County Public Schools,Capitol Heights,754,535,Yes under Community Eligibility Option (CEO)
Central Middle,Anne Arundel County Public Schools,Edgewater,1204,241,Yes participating without using any Provision or the CEO
Central Special School,Anne Arundel County Public Schools,Edgewater,109,55,Yes participating without using any Provision or the CEO
Centreville Elementary School,Queen Anne's County Public Schools,Centreville,535,187,Yes participating without using any Provision or the CEO
Centreville Middle School,Queen Anne's County Public Schools,Centreville,501,180,Yes participating without using any Provision or the CEO
Century High,Carroll County Public Schools,Sykesville,1101,221,Yes participating without using any Provision or the CEO
Cesar Chavez Elementary,Prince George's County Public Schools,Hyattsville,355,231,Yes participating without using any Provision or the CEO
Chadwick Elementary,Baltimore County Public Schools,Baltimore,603,434,Yes under Community Eligibility Option (CEO)
Chapel District Elementary,Talbot County Public Schools,Cordova,359,144,Yes participating without using any Provision or the CEO
Chapel Forge E C C,Prince George's County Public Schools,Bowie,230,135,Yes under Community Eligibility Option (CEO)
Chapel Hill Elementary,Baltimore County Public Schools,Perry Hall,535,137,Yes under Community Eligibility Option (CEO)
Charles Carroll Barrister Elementary,Baltimore City Public Schools,Baltimore,266,187,Yes under Community Eligibility Option (CEO)
Charles Carroll Middle,Prince George's County Public Schools,New Carrollton,884,856,Yes under Community Eligibility Option (CEO)
Charles H. Chipman Elementary,Wicomico County Public Schools,Salisbury,303,214,Yes under Community Eligibility Option (CEO)
Charles Herbert Flowers High,Prince George's County Public Schools,Springdale,2712,1835,Yes participating without using any Provision or the CEO
Charlesmont Elementary,Baltimore County Public Schools,Baltimore,373,259,Yes under Community Eligibility Option (CEO)
Charlestown Elementary,Cecil County Public Schools,Charlestown,305,131,Yes participating without using any Provision or the CEO
Chase Elementary,Baltimore County Public Schools,Baltimore,366,254,Yes under Community Eligibility Option (CEO)
Chatsworth School,Baltimore County Public Schools,Reisterstown,301,115,Yes under Community Eligibility Option (CEO)
Cherokee Lane Elementary,Prince George's County Public Schools,Adelphi,863,779,Yes under Community Eligibility Option (CEO)
Cherry Hill Middle,Cecil County Public Schools,Elkton,387,193,Yes under Community Eligibility Option (CEO)
Chesapeake Bay Middle,Anne Arundel County Public Schools,Pasadena,1087,288,Yes participating without using any Provision or the CEO
Chesapeake Charter School,St. Mary's County Public Schools,Lexington Park,539,145,Yes participating without using any Provision or the CEO
Chesapeake City Elementary,Cecil County Public Schools,Chesapeake City,385,160,Yes participating without using any Provision or the CEO
Chesapeake High,Baltimore County Public Schools,Baltimore,1052,707,Yes under Community Eligibility Option (CEO)
Chesapeake High,Anne Arundel County Public Schools,Pasadena,1540,397,Yes participating without using any Provision or the CEO
Chesapeake Math and It Public Charter,Prince George's County Public Schools,Laurel,1681,825,Yes participating without using any Provision or the CEO
Chesapeake Math and It South Public Charter,Prince George's County Public Schools,Upper Marlboro,1503,592,Yes participating without using any Provision or the CEO
Chesapeake Science Point,Anne Arundel County Public Schools,Hanover,1051,246,Yes participating without using any Provision or the CEO
Chesapeake Terrace Elementary,Baltimore County Public Schools,Baltimore,345,127,Yes under Community Eligibility Option (CEO)
Chevy Chase Elementary,Montgomery County Public Schools,Chevy Chase,434,151,Yes participating without using any Provision or the CEO
Chillum Elementary,Prince George's County Public Schools,Hyattsville,308,284,Yes under Community Eligibility Option (CEO)
Choptank Elementary School,Dorchester County Public Schools,Cambridge,319,303,Yes under Community Eligibility Option (CEO)
Chopticon High,St. Mary's County Public Schools,Morganza,1526,530,Yes participating without using any Provision or the CEO
Church Creek Elementary,Harford County Public Schools,Belcamp,732,439,Yes participating without using any Provision or the CEO
Church Hill Elementary School,Queen Anne's County Public Schools,Church Hill,329,148,Yes participating without using any Provision or the CEO
Church Lane Elementary,Baltimore County Public Schools,Randallstown,273,182,Yes under Community Eligibility Option (CEO)
Churchville Elementary,Harford County Public Schools,Churchville,364,92,Yes participating without using any Provision or the CEO
City Neighbors Charter School,Baltimore City Public Schools,Baltimore,231,125,Yes under Community Eligibility Option (CEO)
City Neighbors Hamilton,Baltimore City Public Schools,Baltimore,250,96,Yes under Community Eligibility Option (CEO)
