school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Blanche H. Daughtrey Elementary,Manatee,Bradenton,719,478,Yes under Community Eligibility Option (CEO)
Blankner K-8,Orange,Orlando,824,216,Yes under Community Eligibility Option (CEO)
Blanton Elementary School,Pinellas,St Petersburg,427,304,Yes under Community Eligibility Option (CEO)
Blind High School (Fsdb),Deaf/Blind,St Augustine,93,80,No
Blind PK-8 School (Fsdb),Deaf/Blind,St Augustine,65,31,No
Bloomingdale High School,Hillsborough,Valrico,2208,603,Yes under Community Eligibility Option (CEO)
Blountstown Elementary School,Calhoun,Blountstown,484,263,Yes under Community Eligibility Option (CEO)
Blountstown High School,Calhoun,Blountstown,658,283,Yes under Community Eligibility Option (CEO)
Blue Angels Elementary School,Escambia,Pensacola,663,365,Yes participating without using any Provision or the CEO
Blue Lake Elementary,Palm Beach,Boca Raton,912,150,Yes under Community Eligibility Option (CEO)
Blue Lake Elementary School,Volusia,Deland,524,341,Yes under Community Eligibility Option (CEO)
Blue Lakes Elementary School,Miami-Dade,Miami,348,132,Yes under Community Eligibility Option (CEO)
Bluewater Elementary School,Okaloosa,Niceville,885,185,Yes participating without using any Provision or the CEO
Bob Graham Education Center,Miami-Dade,Miami Lakes,1404,568,Yes under Community Eligibility Option (CEO)
