school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Stowe Elementary School,Stowe Town School District,Stowe,347,102,Yes under Community Eligibility Option (CEO)
Stowe High School,Stowe Town School District,Stowe,225,64,Yes under Community Eligibility Option (CEO)
Stowe Middle School,Stowe Town School District,Stowe,184,38,Yes under Community Eligibility Option (CEO)
Summit Street School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,305,82,Yes under Community Eligibility Option (CEO)
Sunderland Elementary School,Taconic and Green Regional School District #63,Arlington,58,33,Yes under Community Eligibility Option (CEO)
Sustainability Academy at Lawrence Barnes,Burlington School District,Burlington,213,132,Yes under Community Eligibility Option (CEO)
Sutton Village School,Kingdom East Unified Union School District #64,Sutton,106,58,Yes under Community Eligibility Option (CEO)
Swanton School,Missisquoi Valley School District #89,Swanton,644,400,Yes under Community Eligibility Option (CEO)
Thetford Elementary School,Thetford School District,Thetford,187,70,Yes under Community Eligibility Option (CEO)
Thomas Fleming School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,197,63,Yes under Community Eligibility Option (CEO)
Tinmouth Elementary School,Mill River Unified Union School District #52,Tinmouth,68,42,Yes under Community Eligibility Option (CEO)
Townshend Village School,West River Valley Union Education District #72A,Townshend,112,58,Yes under Community Eligibility Option (CEO)
Troy School,Troy School District,North Troy,195,157,Yes under Community Eligibility Option (CEO)
Twin Valley Elementary School,Twin Valley Unified School District #75,Wilmington,190,99,Yes under Community Eligibility Option (CEO)
Twin Valley Middle High School,Twin Valley Unified School District #75,Whitingham,183,101,Yes under Community Eligibility Option (CEO)
Twinfield Union School,Twinfield Union School District #33,Plainfield,315,190,Yes under Community Eligibility Option (CEO)
U-32 Middle & High School,Washington Central Unified Union School District #92,Montpelier,647,275,Yes under Community Eligibility Option (CEO)
Underhill Central School,Mount Mansfield Unified Union School District #401,Underhill Center,199,36,Yes under Provision 2
Union Elementary School,Montpelier Roxbury Unified Union School District #71,Montpelier,447,151,Yes under Community Eligibility Option (CEO)
Union Memorial School,Colchester School District,Colchester,355,90,Yes under Community Eligibility Option (CEO)
Union Street School,Springfield School District,Springfield,246,155,Yes under Community Eligibility Option (CEO)
Vergennes Union Elementary School,Addison Northwest Unified Union School District #54,Vergennes,280,136,Yes under Community Eligibility Option (CEO)
Vergennes Union High School,Addison Northwest Unified Union School District #54,Vergennes,245,89,Yes under Community Eligibility Option (CEO)
Vergennes Union Middle School,Addison Northwest Unified Union School District #54,Vergennes,193,69,Yes under Community Eligibility Option (CEO)
Vernon Elementary School,Vernon School District,Vernon,170,83,Yes under Community Eligibility Option (CEO)
Waits River Valley Union School,Waits River Union High District #36,East Corinth,265,185,Yes under Community Eligibility Option (CEO)
Waitsfield Elementary School,Harwood Unified Union School District #60,Waitsfield,152,48,Yes under Provision 2
Walden School,Caledonia Cooperative Unified School District #78,Walden,73,53,Yes under Community Eligibility Option (CEO)
Wallingford Village School,Mill River Unified Union School District #52,Wallingford,122,54,Yes under Community Eligibility Option (CEO)
Wardsboro Central School,River Valleys Unified School District #73,Wardsboro,48,15,Yes under Community Eligibility Option (CEO)
Warren Elementary School,Harwood Unified Union School District #60,Warren,123,55,Yes under Community Eligibility Option (CEO)
Washington Village School,Echo Valley Community Union School District #67,Washington,120,76,Yes under Community Eligibility Option (CEO)
Waterford Elementary School,Caledonia Cooperative Unified School District #78,Waterford,140,72,Yes under Community Eligibility Option (CEO)
Waterville Elementary School,Lamoille North Modified Union School District #058A,Waterville,79,51,Yes under Community Eligibility Option (CEO)
