school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Burning Springs Elementary,Clay County,Manchester,297,238,Yes under Community Eligibility Option (CEO),false
Burnside Elementary School,Pulaski County,Burnside,414,336,Yes under Community Eligibility Option (CEO),false
Bush Elementary School,Laurel County,London,511,312,Yes under Community Eligibility Option (CEO),false
Butler County Early Childhood Center,Butler County,Morgantown,67,47,Yes under Community Eligibility Option (CEO),false
Butler County High School,Butler County,Morgantown,662,333,Yes under Community Eligibility Option (CEO),true
Butler County Learning Center,Butler County,Morgantown,13,10,Yes under Community Eligibility Option (CEO),true
Butler County Middle School,Butler County,Morgantown,461,274,Yes under Community Eligibility Option (CEO),true
Butler Traditional High,Jefferson County,Louisville,1290,842,Yes under Community Eligibility Option (CEO),true
Byck Elementary,Jefferson County,Louisville,272,250,Yes under Community Eligibility Option (CEO),false
Cairo Elementary School,Henderson County,Henderson,233,106,Yes under Community Eligibility Option (CEO),false
Caldwell County Elementary School,Caldwell County,Princeton,386,223,Yes under Community Eligibility Option (CEO),false
Caldwell County High School,Caldwell County,Princeton,561,287,Yes under Community Eligibility Option (CEO),true
Caldwell County Middle School,Caldwell County,Princeton,400,254,Yes under Community Eligibility Option (CEO),true
Caldwell County Primary School,Caldwell County,Princeton,532,358,Yes under Community Eligibility Option (CEO),false
Calhoun Elementary School,McLean County,Calhoun,290,132,Yes under Community Eligibility Option (CEO),false
Calloway County Alternative Program,Calloway County,Murray,110,74,Yes under Community Eligibility Option (CEO),true
Calloway County Day Treatment,Calloway County,Murray,7,,Yes under Community Eligibility Option (CEO),true
Calloway County High School,Calloway County,Murray,824,450,Yes under Community Eligibility Option (CEO),true
Calloway County Middle School,Calloway County,Murray,607,347,Yes under Community Eligibility Option (CEO),true
Calloway County Preschool Center,Calloway County,Murray,167,134,Yes under Community Eligibility Option (CEO),false
Calvary Elementary School,Marion County,Lebanon,236,119,Yes under Community Eligibility Option (CEO),false
Calvert City Elementary School,Marshall County,Calvert City,294,209,Yes under Community Eligibility Option (CEO),false
Camargo Elementary School,Montgomery County,Mount Sterling,597,435,Yes under Community Eligibility Option (CEO),false
Camden Station Elementary School,Oldham County,Crestwood,475,111,Yes participating without using any Provision or the CEO,false
Camp Dick Robinson Elementary School,Garrard County,Lancaster,446,265,Yes under Community Eligibility Option (CEO),false
Camp Ernst Middle School,Boone County,Burlington,688,296,Yes participating without using any Provision or the CEO,true
Camp Ground Elementary School,Laurel County,London,327,223,Yes under Community Eligibility Option (CEO),false
Camp Taylor Elementary,Jefferson County,Louisville,367,263,Yes under Community Eligibility Option (CEO),false
Campbell County High School,Campbell County,Alexandria,1519,614,Yes participating without using any Provision or the CEO,true
Campbell County Middle School,Campbell County,Alexandria,1099,519,Yes under Community Eligibility Option (CEO),true
Campbell Elementary School,Raceland-Worthington Independent,Raceland,313,143,Yes under Community Eligibility Option (CEO),false
